date,meal,first_time,last_time,items,kcal,protein_g,fat_g,carbs_g,fiber_g,foods
2026-04-24,lunch,11:12,11:12,1,1130,45.5,46.5,133.5,12.5,tamatar paneer sandwich
2026-04-24,breakfast,20:09,20:09,8,337,20.2,19.3,20.4,1.2,"Egg, whole, raw; Tomato, raw; Onion, raw; Milk, whole 3.25% × 2; Spices, mixed (Indian); Butter, salted; Coffee, brewed (Jumbo Beste Crema)"
2026-04-24,dinner,20:17,20:17,2,162,26.2,1.1,12.6,0.5,"greek yogurt, non-fat; cucumber, raw"
2026-04-25,breakfast,10:05,10:05,1,127,6.7,7,10.1,0,Latte (whole milk)
2026-04-25,lunch,10:17,10:17,4,627,30.1,20.3,81.2,0,Tomato paneer sandwich (multigrain); Kwark strawberry chia dark choc bowl; Dum aloo; Dal chawal
2026-04-25,snack,14:14,14:14,2,269,16.2,12.3,24.7,4,Snickers Protein bar; Starbucks Chilled Caffè Latte (no added sugar)
2026-04-25,dinner,19:50,19:50,6,1505,39.3,58.1,177.7,19.5,falafel (deep-fried); hummus; baba ganoush / dip (avg); pita bread; fries (restaurant); mojito
2026-04-26,lunch,12:38,12:40,8,1174,49.4,73.7,82.2,5.5,"Latte (whole milk); Brioche bread; Egg, whole, raw; Hollandaise sauce; Mixed greens salad; Sweet corn, boiled; Potato chips/salted nachos; Mozzarella, fresh"
2026-04-26,snack,18:00,18:00,2,92,0,0,22.5,0,"Ice lolly (fruit, water-based); Lollipop (hard candy)"
2026-04-27,lunch,13:30,13:30,2,468,15.9,20.1,52.8,7.8,soft taco w/ plant-based pulled + beans (estimate); tortilla chips & guac side (estimate)
2026-04-27,snack,18:30,18:30,1,248,8.9,8.9,35.5,0,"Starbucks pistachio latte/macchiato (tall, whole milk)"
2026-04-27,dinner,20:23,20:23,3,808,46,27.3,98.4,6,"moong dal khichdi (with ghee); paneer; greek yogurt, 2%"
2026-04-28,breakfast,09:28,09:28,3,107,6.1,6,7.7,0,"Latte (whole milk); Egg, whole, raw; Milk, whole 3.25%"
2026-04-28,lunch,10:38,10:38,11,734,29.3,37.4,69.5,1.8,"Sourdough bread; Avocado, raw; hummus; Olive oil, extra virgin; Roasted bell pepper; Egg, whole, raw; Cheddar cheese; Butter, salted; Pancake, buttermilk whole-wheat (restaurant); Maple syrup; Blueberry compote"
2026-04-28,snack,11:38,13:05,4,298,36.3,9.7,18.8,1,"whey isolate protein powder; Milk, whole 3.25%; Strawberry, raw; Latte (whole milk)"
2026-04-28,dinner,20:38,20:38,1,549,36,39.4,20.2,1.9,Paneer mushroom broccoli tikka w/ mint-coriander yogurt dip (home recipe)
2026-04-29,snack,08:12,21:00,6,698,22.8,36.4,69.2,2.5,"Kruidvat 100% Pure Whey strawberry; Milk, whole 3.25% × 2; strawberries, fresh; Lay's Bugles cheese; Dark chocolate (70%)"
2026-04-29,lunch,13:28,13:29,2,1264,52.7,54.4,139.2,16.3,Mexican paneer burrito (YFL homemade); tortilla chips & guac side (estimate)
2026-04-29,dinner,18:08,18:08,4,347,17.8,22.7,22.3,2.9,"Paneer mushroom broccoli tikka w/ mint-coriander yogurt dip (home recipe); Sweet corn, boiled; Mixed greens salad; Creamy yogurt salad dressing (estimate)"
2026-04-30,breakfast,06:00,06:00,1,127,6.7,7,10.1,0,Latte (whole milk)
2026-04-30,lunch,10:30,11:00,6,636,63.3,27.7,37.6,5.1,"Kruidvat 100% Pure Whey strawberry; Milk, whole 3.25%; Paneer mushroom broccoli tikka w/ mint-coriander yogurt dip (home recipe); Mixed greens salad; Carrot, raw; hummus"
2026-04-30,snack,14:30,22:00,5,687,37,26.4,75.2,8,"Kruidvat 100% Pure Whey strawberry; Milk, whole 3.25%; Espresso (single shot); Macaroon cookie (estimate); Salted popcorn, store-bought bag (estimate)"
2026-04-30,dinner,19:04,19:04,4,600,32.5,28.7,53.8,8.2,"Mixed greens salad; Goat cheese, soft (estimate); Beetroot, cooked; Vegetarian lasagna w/ tofu mozzarella and vegetables (estimate)"
2026-05-01,breakfast,11:43,11:43,2,326,50.7,6.9,15.2,0,"Kruidvat 100% Pure Whey strawberry; Milk, whole 3.25%"
2026-05-01,lunch,12:18,12:35,6,1311,57,53.9,150.1,17.2,"Mexican paneer burrito (YFL homemade); white rice, cooked; paneer; Mexican black bean filling (estimate); Corn tomato onion salsa (estimate); Avocado, raw"
